recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	fantbox.net		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		fantbox.net
ok	federal.tv		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		federal.tv
ok	finance.mail.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		finance.mail.ru
ok	finobzor.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		finobzor.ru
ok	fishki.net	monitor_first	0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио	Развлекательный трафик	fishki.net
ok	fontanka.ru		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		fontanka.ru
ok	forum.ixbt.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		forum.ixbt.com
ok	fotostrana.ru		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		fotostrana.ru
ok	free-kniga.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		free-kniga.ru
ok	game.rip		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		game.rip
ok	game.water.sort.puzzle.android		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		game.water.sort.puzzle.android
ok	games.yandex.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		games.yandex.ru
ok	garant.ru		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		garant.ru
ok	gazeta.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		gazeta.ru
ok	gigabooks.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		gigabooks.ru
ok	gismeteo.ru		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		gismeteo.ru
ok	go.mail.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		go.mail.ru
ok	gogov.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		gogov.ru
ok	golosom.org		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		golosom.org
ok	govzalla.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		govzalla.com
ok	habr.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		habr.com
ok	health.mail.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		health.mail.ru
ok	hh.ru	monitor_first	0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио	Соискатели/вакансии, не покупатели	hh.ru
